  PID TTY          TIME CMD
    1 ?        00:00:01 systemd
   61 ?        00:00:01 systemd-journal
   77 ?        00:00:00 systemd-udevd
   91 ?        00:00:00 avahi-daemon
   92 ?        00:00:00 dbus-daemon
   94 ?        00:00:00 polkitd
   95 ?        00:00:00 systemd-logind
  100 ?        00:00:00 avahi-daemon
  109 ?        00:00:00 wpa_supplicant
  137 ?        00:00:00 dhclient
  170 pts/0    00:00:00 agetty
  172 ?        00:00:00 systemd
  188 ?        00:00:00 (sd-pam)
  202 ?        00:00:00 apache2
  203 ?        00:00:00 apache2
  204 ?        00:00:00 apache2
  261 ?        00:00:00 pipewire
  270 ?        00:00:00 wireplumber
  272 ?        00:00:00 pipewire-pulse
  280 ?        00:00:00 ld-linux-aarch6
  281 ?        00:00:00 ld-linux-aarch6
  282 ?        00:00:00 ld-linux-aarch6
  283 ?        00:00:00 ld-linux-aarch6
  285 ?        00:00:00 dbus-daemon
  293 ?        00:00:00 rtkit-daemon
  306 ?        00:00:00 ld-linux-aarch6
  307 ?        00:00:00 ld-linux-aarch6
  362 ?        00:00:02 ld-linux-aarch6
  363 ?        00:00:00 ld-linux-aarch6
  386 ?        00:00:00 sftp-server
  387 ?        00:00:14 packagekitd
  703 ?        00:00:00 ld-linux-aarch6
  705 pts/1    00:00:01 bash
 1276 pts/1    00:00:00 sudo
 1277 pts/2    00:00:00 sudo
 1278 pts/2    00:00:00 ps
