total 0
dr-xr-xr-x 218 root             root               0 Aug 10 05:53 .
drwxr-xr-x   1 root             root             122 May 30 19:24 ..
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 1
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 10
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 100
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 1008
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 101
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 1012
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 106
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 10722
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 1128
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 1132
dr-xr-xr-x   9 www-data         www-data           0 Sep 12 17:46 1144
dr-xr-xr-x   9 www-data         www-data           0 Sep 12 17:46 1148
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 116
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 12
dr-xr-xr-x   9 god              god                0 Sep 12 17:18 12021
dr-xr-xr-x   9 god              god                0 Sep 12 17:46 12023
dr-xr-xr-x   9 god              god                0 Sep 12 13:07 1212
dr-xr-xr-x   9 god              god                0 Sep 12 17:46 1214
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 12289
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 12290
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 12293
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 124
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 127
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 13
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13065
dr-xr-xr-x   9 root             root               0 Sep 12 17:39 13294
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13442
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13443
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13444
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13447
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13448
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13653
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 13682
dr-xr-xr-x   9 root             root               0 Sep 12 17:47 13727
dr-xr-xr-x   9 root             root               0 Sep 12 17:49 13729
dr-xr-xr-x   9 root             root               0 Sep 12 17:47 13730
dr-xr-xr-x   9 root             root               0 Sep 12 17:49 13753
dr-xr-xr-x   9 god              god                0 Sep 12 17:50 13786
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 14
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 140
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 143
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 146
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 15
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 16
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 17
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 18
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 19
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 2
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 20
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 21
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 223
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 23
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 230
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 24
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 247
dr-xr-xr-x   9 messagebus       messagebus         0 Aug 10 05:53 248
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 25
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 251
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 252
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 255
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 26
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 27
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 28
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 29
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 290
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 292
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 295
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 296
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 3
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 30
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 306
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 31
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 313
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 318
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 33
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 34
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 35
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 36
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 37
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 38
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 39
dr-xr-xr-x   9 root             root               0 Sep 12 17:46 395
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 4
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 40
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 41
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 42
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 420
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 421
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 422
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 428
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 43
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 433
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 44
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 442
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 445
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 447
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 449
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 45
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 46
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 47
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 470
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 471
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 48
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 49
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 5
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 50
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 51
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 517
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 52
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 53
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 54
dr-xr-xr-x   9 polkitd          polkitd            0 Aug 10 05:53 542
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 55
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 56
dr-xr-xr-x   9 god              god                0 Aug 10 05:53 570
dr-xr-xr-x   9 god              god                0 Sep 12 17:46 572
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 58
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 6
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 60
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 61
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 62
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 63
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 64
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 65
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 66
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 67
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 7
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 70
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 71
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 72
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 73
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 74
dr-xr-xr-x   9 root             root               0 Aug 10 05:53 75
